"logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene","Significant"
-2.22234495,12.773008525,-6.82224597297771,1.19225475329275e-06,0.00118221031806325,5.58151570368045,"MT1H","Down"
-1.12627018,8.85778736,-6.80908108370694,1.22570355033167e-06,0.00118221031806325,5.55590368341973,"PEX11A","Down"
1.0221045,9.01401255,6.79102525431648,1.2731580894065e-06,0.00118221031806325,5.52073333473902,"ARL13B","Up"
-4.92014241,9.415256145,-6.6893415579799,1.5781083632063e-06,0.00137141312768246,5.32173943333277,"MT1M","Down"
-2.32913844,6.86544605,-6.66551744527545,1.65986103080949e-06,0.00137141312768246,5.27488905540361,"HAPLN1","Down"
2.55671014000001,8.80423848,6.66277216091714,1.66955758391834e-06,0.00137141312768246,5.26948491223464,"NTM","Up"
-1.72255885,10.297365675,-6.63031984245474,1.78870024502024e-06,0.00141486189381101,5.20551578156921,"LNX1","Down"
-1.03144625,10.709097525,-6.58346277635619,1.97636641316737e-06,0.00144847289578251,5.11287294934994,"ABCA5","Down"
2.05858325,13.062687775,6.57026589376698,2.03279445097214e-06,0.00144847289578251,5.08672150777442,"COL6A3","Up"
-2.91414968,8.36603586,-6.5698365605702,2.03465781118487e-06,0.00144847289578251,5.08587028740056,"AZGP1","Down"
-0.867277899999998,10.11330555,-6.5371011019056,2.18203605794925e-06,0.00149416975214222,5.0208860675127,"SIMC1","Not Sig"
-5.44443522,6.26352941,-6.51660462585249,2.27986177317789e-06,0.00149416975214222,4.98011657715565,"TRIM50","Down"
1.07494250000001,10.996294,6.51072819628825,2.30873258513336e-06,0.00149416975214222,4.96841626898139,"SPTSSA","Up"
-1.6002613,12.54255515,-6.47448006642221,2.49532790330791e-06,0.001497975832276,4.89613099372361,"SIDT2","Down"
-4.93409078,8.29297507,-6.46274866615522,2.55898441216455e-06,0.001497975832276,4.87269485542057,"PSAPL1","Down"
2.95334619,8.375161005,6.45758646501412,2.58752202024315e-06,0.001497975832276,4.86237575181874,"CCN4","Up"
-7.841365174,6.759468413,-6.45621245057932,2.59517281426287e-06,0.001497975832276,4.85962847128966,"AQP4","Down"
-2.1176117,9.40896825,-6.44233324509706,2.67377140601514e-06,0.00150272989258593,4.83186202875896,"OASL","Down"
-2.19386305,13.274602775,-6.42586923909718,2.7701895553626e-06,0.00151699841881741,4.79888775223497,"MT1E","Down"
-2.53064105,12.241514775,-6.37963374515826,3.06052792027023e-06,0.00160045682748341,4.70607442641145,"MT1F","Down"
-1.55979165,10.337492425,-6.3778298916367,3.07246944452966e-06,0.00160045682748341,4.70244703346642,"DGKD","Down"
-1.48343355,12.241632075,-6.25747303081769,3.98782664133051e-06,0.00202780984711656,4.45935512812163,"TST","Down"
-1.8295716,10.9686182,-6.2099895671526,4.42215638231909e-06,0.00211878455138428,4.36287823450167,"FGD4","Down"
-4.21773706,10.80355552,-6.19006115651967,4.61863742297763e-06,0.00211878455138428,4.32229238383834,"CLIC6","Down"
0.783413199999998,10.23446885,6.17954035302794,4.7259567588575e-06,0.00211878455138428,4.30084328424077,"CDK4","Not Sig"
