"logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene","Significant"
-3.861577005,7.8624068575,-3.56545503685116,0.00191913757202464,0.0283647205022355,-1.34570904287046,"ADGRG2","Down"
-3.84254155,7.778564675,-5.62944613615048,1.60007931994773e-05,0.0030241499147012,3.15852490221919,"PRDM16-DT","Down"
-3.79500058,8.29225561,-5.37964592244827,2.81532929444212e-05,0.00360041842762877,2.62735996341711,"CAPN13","Down"
-3.77328835,10.158253725,-3.35274359345374,0.00314243247955418,0.0374337356578213,-1.80525223139072,"ELAPOR1","Down"
-3.76117257,9.098217465,-4.35136747119796,0.000304506388865549,0.0107315890214547,0.38315374547676,"CA9","Down"
-3.74748623,6.962661435,-4.56545309625092,0.000184498901714789,0.00829545903983738,0.855511153050974,"PNLIPRP2","Down"
-3.7276808,5.90591355,-4.57376071948731,0.000180952983141108,0.00820512284701623,0.873811393901413,"SH3GL2","Down"
-3.70888751,8.584670795,-3.59964267570847,0.00177226571277405,0.0273287211752458,-1.27131972491552,"PIK3C2G","Down"
-3.704878,5.6211984,-8.73944959824743,2.71590368848409e-08,0.000290017775374774,9.02294350591404,"CEP192P1","Down"
-3.68696055,10.575944025,-4.20252779529164,0.00043172922350491,0.0132609357838402,0.0542916435253034,"HP","Down"
-3.67797704,6.87751334,-4.65171923455655,0.000150851183077088,0.00768558697893597,1.04539470933618,"SULT2A1","Down"
-3.6415226,4.91441889,-4.98763893040964,6.91643270827912e-05,0.00545071045574602,1.7807470243281,"LOC101926959","Down"
-3.63256401,6.156344535,-4.82816993194887,0.000100057312327103,0.00630361067660751,1.43258012768468,"COL2A1","Down"
-3.62240811,7.044661785,-4.8309225460501,9.94200762997414e-05,0.00630063670484741,1.43860519317749,"RDH12","Down"
-3.60983685,7.147055625,-5.22940229467513,3.96669952919407e-05,0.00417769926258731,2.30461441818604,"SLC26A7","Down"
-3.58786005,9.666606575,-6.0965410548913,5.6675975346824e-06,0.00214220675394523,4.13108606284624,"SSTR1","Down"
-3.57811414,9.98219943,-4.01707588804139,0.00066717678615257,0.0165684821184424,-0.355245995936165,"VSIG2","Down"
-3.57708592,6.34160721,-4.92435255853704,8.00623600221218e-05,0.00576645853135783,1.64279889971712,"CNTD1","Down"
-3.56717664,5.29817617,-7.86984128694309,1.42080835725887e-07,0.000606884081719553,7.53313182208112,"CPB1","Down"
-3.527506834,7.791213943,-3.18614735258627,0.00460783347507956,0.0463539799940058,-2.16025554635872,"MAP7D2","Down"
-3.51634653,10.153013535,-6.82398057474681,1.18791819270622e-06,0.00118221031806325,5.58488835765851,"GATA6-AS1","Down"
-3.50247985,8.421828145,-4.93526723821796,7.80655714505361e-05,0.00572936910470481,1.66661204589747,"CAPN9","Down"
-3.49869686,7.62452042,-3.94027780543758,0.000798894690189992,0.0179599935772502,-0.524567889676702,"UPK1B","Down"
-3.47979853,11.820927435,-4.65738493736846,0.000148871439900277,0.00766112169714377,1.05785364331249,"HPGD","Down"
-3.46041338,6.41079489,-3.82017179687757,0.00105863178931382,0.0209538453423311,-0.78881414215927,"FGA","Down"
-3.45505776,8.80372112,-4.25568832197808,0.000381101023058812,0.0124262206862092,0.17176027092104,"KCNJ15","Down"
-3.44047098,6.19164378,-5.53107520330849,1.99726627253675e-05,0.00333660377593517,2.95020634045849,"ADIPOQ","Down"
-3.43085709,6.060155695,-4.31925255586493,0.000328317430578412,0.0112369797513833,0.312208399115585,"FGG","Down"
-3.4280199,7.46450818,-3.72387282761126,0.00132617947725024,0.023642082717557,-1.00001606313877,"SLC1A2","Down"
-3.37430021,7.552529175,-4.37939433289019,0.000285148189786311,0.010499152841982,0.445055952270194,"DNER","Down"
-3.35393608,7.75695226,-5.5278863399336,2.01170838320753e-05,0.00333660377593517,2.94343436157269,"CKMT2","Down"
-3.35266761,10.089192895,-5.78134230188995,1.13856648576448e-05,0.00273217577937887,3.47788861603953,"TMEM238L","Down"
-3.34838465,3.707545095,-4.21233157884415,0.000421910251867127,0.0131351854943531,0.0759545489058144,"S100G","Down"
-3.343651825,5.3004979175,-4.75570123806612,0.000118407009634524,0.00688581334599032,1.27378221827206,"HAPLN4","Down"
-3.341110375,6.8475688725,-3.53195491189957,0.00207467823513314,0.0295621224440848,-1.41847402735497,"PDILT","Down"
-3.32918927,5.448802315,-6.04712552700965,6.31762919247954e-06,0.00224876011106309,4.02956328625918,"DCAF12L1","Down"
-3.3285931,7.90409435,-4.00295160881067,0.000689659801627311,0.0167948282592411,-0.386403284968494,"BTNL8","Down"
-3.32343051,7.747321485,-3.38967672064418,0.00288548315104906,0.0355188839521353,-1.72591737103052,"AXDND1","Down"
-3.30045103,6.700904805,-6.91077535018019,9.90428559131881e-07,0.00118221031806325,5.75305728573074,"SILC1","Down"
-3.24890185,5.784630335,-3.99096651810798,0.000709329415894972,0.0170049223581325,-0.412836229422393,"SPINK2","Down"
-3.23094362,9.42246665,-3.34230696861118,0.00321901531278781,0.0378154620655717,-1.82763209550256,"TMED6","Down"
-3.22921465,12.340772925,-5.42821505641424,2.52115004494885e-05,0.00355308936017902,2.73118627908712,"AKR1C2","Down"
-3.19202514,7.74183948,-4.91931704259238,8.1000962654275e-05,0.00576645853135783,1.63180963738805,"ZBTB7C","Down"
-3.18107825,7.658939575,-5.13786931048203,4.89315660070703e-05,0.00456345613630131,2.10689318107417,"SIGLEC11","Down"
-3.17251504,7.95010658,-6.17583336361884,4.7643773766596e-06,0.00211878455138428,4.29328201069886,"TRIM74","Down"
-3.1638977,6.09591368,-5.4583383626886,2.35463411613945e-05,0.00348128133099897,2.79545099383968,"SCNN1B","Down"
-3.15473559,9.156779575,-4.95964746039917,7.3785715165414e-05,0.00563469837084587,1.71977101014539,"LYPD6B","Down"
-3.14668164,10.76461268,-3.58607017597236,0.00182919684805917,0.0277064943858154,-1.30086763094303,"FCGBP","Down"
-3.13612839,10.896811505,-4.34994124249356,0.000305526070117762,0.0107497862924301,0.380003340030005,"ADTRP","Down"
-3.12519458,4.1296838,-4.16200714680031,0.000474800880153487,0.0137823519587316,-0.0352379753351668,"CKM","Down"
-3.1026942,5.38580838,-4.22552867456279,0.000409045138864361,0.0129230429448612,0.105116030831812,"PLA2G1B","Down"
-3.08386319,11.929443955,-3.28195293089939,0.00369902436819867,0.0407208098564716,-1.95670089818381,"FAM3B","Down"
-3.0771018,5.79825892,-4.0313295511296,0.0006452293023105,0.0162441529269144,-0.323796706780809,"PRSS1","Down"
-3.05723281,6.937292645,-4.65089238644652,0.000151142320136401,0.00768558697893597,1.04357633030898,"ALKAL2","Down"
-3.0384191,12.98572795,-3.40189591903351,0.0028050952777719,0.0349306269069758,-1.69962400076462,"CA2","Down"
-3.037012148,4.667705676,-4.1222111874757,0.000521287157455418,0.0143099355035673,-0.123149046471983,"NKX2-2","Down"
-3.02872095,7.125133075,-3.55405733440749,0.00197072170888148,0.0288872364698571,-1.37048042307913,"RFX6","Down"
-3.00873509,6.015414095,-5.36652896896841,2.90062226418357e-05,0.00364403468800991,2.59927619662497,"ANGPTL3","Down"
-2.99948089,10.162733555,-4.23331121219932,0.000401643451889012,0.012832072190889,0.122313203183964,"ACER2","Down"
-2.98923535,9.752521425,-4.06956399505924,0.000589852005687587,0.0154046677098089,-0.239406985233648,"CYP2C9","Down"
-2.98655551,8.054644305,-4.80914454680603,0.000104576270367202,0.00644015992028294,1.39092275517231,"B3GNT6","Down"
-2.9593966,6.63929319,-3.43557666037624,0.00259471758327278,0.0334028833188407,-1.62703656204867,"FGB","Down"
-2.9520888,6.70430965,-3.99837106380803,0.000697112204736653,0.0168419160418992,-0.396506215674205,"PCAT18","Down"
