"logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene","Significant"
2.05745113,7.849956625,4.92108927635123,8.06693590405857e-05,0.00576645853135783,1.63567748841193,"KIF26B","Up"
2.04543077,9.791477755,3.16958038107247,0.00478563576332076,0.0470788776592553,-2.19527684634797,"PKDCC","Up"
2.04081886,7.12931552,3.23725854956209,0.00409885900463973,0.0434438371027745,-2.05187362265225,"TFAP2C","Up"
2.0225515,6.16168846,3.7629116607908,0.00121046833652825,0.0224409481451683,-0.914479612604691,"SHROOM4","Up"
2.01736351,6.265603275,3.56317050007244,0.00192936920222861,0.0284568632955777,-1.35067536620899,"XXYLT1","Up"
2.01368529,6.893273285,3.84141445710269,0.00100724763133093,0.0204096657137901,-0.742137951722074,"LINGO1","Up"
1.99717649,5.565984225,4.07608962007581,0.000580886551927424,0.0152220786374405,-0.225000042043759,"C1GALT1C1L","Up"
1.99395995,7.978852055,4.80470647584286,0.000105659800564436,0.00648441482946739,1.38120191715035,"HMCN1","Up"
1.99137909,7.627841555,5.84497173836531,9.88074317978405e-06,0.00254244616976684,3.61080690853254,"SRPX2","Up"
1.98008057,6.783932595,5.12598280420665,5.02864193979087e-05,0.00464920804797029,2.08115972134467,"SPHK1","Up"
1.96566489,5.218360435,3.1353419124551,0.00517447285134236,0.049138867147162,-2.26747777991516,"CFAP20DC","Up"
1.96480454,4.10759976,3.4395658135697,0.00257085020883757,0.0331956758827956,-1.61842858568748,"CFHR4","Up"
1.96125693,3.678325425,4.14752263060897,0.000491219755351665,0.0139740377543162,-0.0672373988195822,"LINC01579","Up"
1.9589241,9.31670065,4.34379328823833,0.000309960960440045,0.0108313677419811,0.366422753783548,"DPYSL3","Up"
1.9518489,12.1277594,5.84811302802362,9.8119498973084e-06,0.00254244616976684,3.61735536084484,"COL5A2","Up"
1.94195955,9.306215345,4.0563488803017,0.000608433712846227,0.0156349545214941,-0.268579404282065,"FOXC1","Up"
1.9374348,10.5457669,4.88820069402114,8.70535880256335e-05,0.00588355531475777,1.5638615100467,"PMEPA1","Up"
1.92395168,7.32987101,4.28629425621127,0.000354699683450124,0.0117812148358387,0.239388687013372,"TBRG4","Up"
1.92262522,4.22307175,3.59729852761546,0.00178197197807311,0.0273402123101346,-1.2764244488336,"LYPD1","Up"
1.91150797,6.759984225,3.78221841661472,0.00115700061220646,0.0219449929617169,-0.872134167604509,"GRB14","Up"
1.90778557,6.025961245,4.16696122824253,0.00046931220870908,0.0137491095218105,-0.0242927937613446,"NT5DC2","Up"
1.907372445,4.8421558975,3.23279130074826,0.00414106602783246,0.0436960213223408,-2.0613662389509,"KERA","Up"
1.90578895,9.813038375,4.4335489006036,0.000251177544183628,0.00982801420530348,0.564622975923188,"CCL18","Up"
1.90419539,5.860976165,3.46630280274775,0.00241635528738213,0.0320534781817517,-1.56067766109075,"TPRG1","Up"
1.89929214,4.15132604,3.84013958046144,0.00101026031743477,0.0204444489301431,-0.74494001950804,"FAM225A","Up"
1.89447058,8.57959937,5.16136836027859,4.63612368825291e-05,0.00438682237174268,2.15772888950516,"OLFML2B","Up"
1.89223398,8.24753391,4.23297561384732,0.000401959839664032,0.012832072190889,0.121571625638114,"CLEC11A","Up"
1.89021355,9.928955075,5.17103515570954,4.53441275834746e-05,0.00434641119994711,2.17862629422557,"AEBP1","Up"
1.88886396,4.82284767,4.13130615961897,0.000510276995238529,0.0141646635840913,-0.103059835316745,"LINC01503","Up"
1.88106955,7.192283985,4.2741272789538,0.000364968046355631,0.0119917270246419,0.212504404737746,"ADAM12","Up"
1.86438345,9.806783625,7.15092952040396,6.02029459934588e-07,0.000865766305775207,6.21230090543923,"MTHFD1L","Up"
1.85603334,4.79401265,3.8101348673732,0.0010838078187248,0.0211512888542216,-0.810858004697278,"PRELID3A","Up"
1.84523918,6.5623987,3.31536116186504,0.00342528416353875,0.0390393270651694,-1.88533187843161,"PADI2","Up"
1.84492685,7.453906925,3.213663156024,0.00432662957092812,0.0446735423875524,-2.10197001000068,"UCHL1","Up"
1.84107509,6.644975725,5.88390627901844,9.06184422393859e-06,0.00250291257266301,3.69188054908993,"TAFA5","Up"
1.83608639,5.143112895,3.71587070464486,0.00135121792826841,0.0238934685456199,-1.01753401126484,"FOXS1","Up"
1.8231102,9.74981775,5.33956223792414,3.08434074933205e-05,0.00372159691432116,2.54148231935223,"BCAT1","Up"
1.82247803,7.188434845,4.40864512839085,0.000266262285516561,0.010135318367901,0.509646184741843,"TNFSF11","Up"
1.81492626,4.79298817,3.93125820639312,0.000815974170834552,0.0181188393819172,-0.544438056755836,"CLDN16","Up"
1.81408075,9.053406575,4.60271948821883,0.000169121326879828,0.00800551219537586,0.937580067433875,"TNFAIP6","Up"
1.81315295,11.252214175,6.06815313658236,6.03215580525997e-06,0.00222118537125754,4.07280498048756,"CDH11","Up"
1.802967,9.9443853,4.59713737533656,0.000171339651637405,0.00800551219537586,0.925290759075368,"FAM72C","Up"
1.80249942,6.01594974,3.41655311120981,0.002711562180062,0.0342190188842423,-1.66805548247886,"ZNF883","Up"
1.79504273,4.400163135,3.42950937952471,0.00263143619472088,0.0337332429835858,-1.64012453037061,"EGOT","Up"
1.77088965000001,11.320220075,4.8108306479505,0.000104167572308753,0.00644015992028294,1.39461553989694,"FBN1","Up"
1.77079053,8.097133985,3.5022149992696,0.00222312274921093,0.0305954030713325,-1.48295884642542,"RBP4","Up"
1.76053806,7.08927958,3.83777737765723,0.00101586617035949,0.0205258787136875,-0.750131669938929,"PLPPR4","Up"
1.75026695,5.412967855,3.54448832454376,0.00201508297109998,0.0291584243132743,-1.39126580464997,"TRABD2B","Up"
1.74554207,8.971925865,3.89618626495796,0.000885912615129677,0.019001268645664,-0.621664560275443,"ZNF703","Up"
1.74393742,7.97690909,3.83223945422873,0.00102912993032132,0.020696901319391,-0.762301556874914,"PDE3A","Up"
1.74240282,9.10891944,3.46376766381062,0.00243060367523125,0.0322224721861663,-1.56615763689633,"HOXB7","Up"
1.73217582,8.15920667,5.09216472662125,5.43533957191704e-05,0.0048096225243064,2.00787640342336,"WASF1","Up"
1.73138923,7.660626635,3.5311881070534,0.00207838016296258,0.0295621224440848,-1.42013804137282,"TREM2","Up"
1.72917648,5.8119222,3.46074752914608,0.00244768571906173,0.0323285243673477,-1.57268485611192,"CORIN","Up"
1.7237577,6.7084409,3.24221490310663,0.00405252152068704,0.0432131665970657,-2.0413373650789,"MEOX2","Up"
1.72372713,6.277823215,3.4127496608943,0.00273553525536416,0.0343865959086594,-1.67625032670759,"RHEBL1","Up"
